"Time","vaporwave","aesthetic","aesthetics"
"2016-04-01",1,6,3
"2016-05-01",1,6,2
"2016-06-01",1,7,2
"2016-07-01",1,7,2
"2016-08-01",1,7,2
"2016-09-01",1,8,3
"2016-10-01",1,7,2
"2016-11-01",1,8,3
"2016-12-01",1,8,2
"2017-01-01",1,9,3
"2017-02-01",1,9,3
"2017-03-01",1,9,3
"2017-04-01",1,10,3
"2017-05-01",1,10,3
"2017-06-01",1,10,3
"2017-07-01",1,10,3
"2017-08-01",1,11,3
"2017-09-01",1,11,3
"2017-10-01",1,12,3
"2017-11-01",1,12,3
"2017-12-01",1,12,3
"2018-01-01",1,13,3
"2018-02-01",1,13,3
"2018-03-01",1,14,3
"2018-04-01",1,14,3
"2018-05-01",1,15,3
"2018-06-01",1,15,3
"2018-07-01",1,16,3
"2018-08-01",1,16,3
"2018-09-01",1,16,3
"2018-10-01",1,16,3
"2018-11-01",1,17,3
"2018-12-01",1,18,3
"2019-01-01",1,19,3
"2019-02-01",1,20,4
"2019-03-01",1,21,4
"2019-04-01",1,20,4
"2019-05-01",1,21,4
"2019-06-01",1,23,3
"2019-07-01",1,24,4
"2019-08-01",1,24,4
"2019-09-01",1,23,4
"2019-10-01",1,22,3
"2019-11-01",1,24,4
"2019-12-01",1,26,3
"2020-01-01",1,31,4
"2020-02-01",1,33,4
"2020-03-01",1,42,4
"2020-04-01",1,48,4
"2020-05-01",1,52,4
"2020-06-01",1,52,5
"2020-07-01",1,63,5
"2020-08-01",1,55,5
"2020-09-01",1,100,6
"2020-10-01",1,68,5
"2020-11-01",1,68,4
"2020-12-01",1,76,5
"2021-01-01",1,83,4
"2021-02-01",1,83,5
"2021-03-01",1,82,5
"2021-04-01",1,76,5
"2021-05-01",1,80,5
"2021-06-01",1,76,5
"2021-07-01",1,83,5
"2021-08-01",1,83,5
"2021-09-01",0,77,5
"2021-10-01",0,79,5
"2021-11-01",0,78,5
"2021-12-01",0,82,5
"2022-01-01",1,90,5
"2022-02-01",1,90,5
"2022-03-01",1,81,6
"2022-04-01",1,87,6
"2022-05-01",1,83,5
"2022-06-01",1,83,5
"2022-07-01",1,81,5
"2022-08-01",0,81,5
"2022-09-01",0,83,6
"2022-10-01",0,78,6
"2022-11-01",0,73,5
"2022-12-01",0,74,5
"2023-01-01",0,77,6
"2023-02-01",0,76,6
"2023-03-01",0,73,6
"2023-04-01",0,70,6
"2023-05-01",0,66,6
"2023-06-01",0,73,6
"2023-07-01",0,73,6
"2023-08-01",0,68,6
"2023-09-01",0,68,6
"2023-10-01",0,65,6
"2023-11-01",0,62,6
"2023-12-01",0,65,6
"2024-01-01",0,63,7
"2024-02-01",0,56,7
"2024-03-01",0,53,7
"2024-04-01",0,53,7
"2024-05-01",0,52,7
"2024-06-01",0,49,7
"2024-07-01",0,46,7
"2024-08-01",0,48,7
"2024-09-01",0,48,7
"2024-10-01",0,44,7
"2024-11-01",0,45,7
"2024-12-01",0,45,7
"2025-01-01",0,48,7
"2025-02-01",0,44,8
"2025-03-01",0,45,8
"2025-04-01",0,42,8
"2025-05-01",0,43,9
"2025-06-01",0,44,8
"2025-07-01",0,42,8
"2025-08-01",0,50,10
"2025-09-01",0,48,10
"2025-10-01",0,46,10
"2025-11-01",0,49,11
"2025-12-01",0,49,11
"2026-01-01",0,50,12
"2026-02-01",1,61,14
"2026-03-01",0,51,12
"2026-04-01",1,54,14
"2026-05-01",1,63,16
"2026-06-01",0,48,11
